"","variable","importance"
"116","visnir.PC56",1.1336726101142
"107","visnir.PC47",1.13325497363555
"100","visnir.PC40",1.11241223611876
"54","mir.PC54",1.08560859064812
"114","visnir.PC54",1.07695839043262
"104","visnir.PC44",1.04073896918658
"130","clm_lst_mod11a2.dec.day_m_1km_s0..0cm_2000..2017_v1.0",1.02374006991755
"67","visnir.PC7",1.01495350135534
"143","clm_lst_mod11a2.jun.daynight_m_1km_s0..0cm_2000..2017_v1.0",0.988031740539816
"174","clm_water.vapor.pressure_worldclim.dec_m_1km_1990..2010_v2.1",0.972983820338846
"166","clm_precipitation_worldclim.jun_m_1km_1990..2010_v2.1",0.972851879477315
"118","visnir.PC58",0.96999163240974
"39","mir.PC39",0.951552650067857
"29","mir.PC29",0.932210916904316
"113","visnir.PC53",0.925252731353063
"93","visnir.PC33",0.907926234288935
"97","visnir.PC37",0.885285986730447
"145","clm_lst_mod11a2.mar.day_m_1km_s0..0cm_2000..2017_v1.0",0.878344724175929
"57","mir.PC57",0.868838035986005
"150","clm_lst_mod11a2.may.night_m_1km_s0..0cm_2000..2017_v1.0",0.854358408400953
"165","clm_precipitation_worldclim.jul_m_1km_1990..2010_v2.1",0.837332169797822
"96","visnir.PC36",0.832876039581191
"175","clm_water.vapor.pressure_worldclim.feb_m_1km_1990..2010_v2.1",0.831990358258702
"73","visnir.PC13",0.818312268322755
"58","mir.PC58",0.803069499866408
"105","visnir.PC45",0.798981482613325
"92","visnir.PC32",0.7919578664444
"140","clm_lst_mod11a2.jul.daynight_m_1km_s0..0cm_2000..2017_v1.0",0.742895755858561
"56","mir.PC56",0.722011536119106
"122","clm_lst_mod11a2.annual.day_m_1km_s0..0cm_2000..2017_v1.0",0.692056390496929
"94","visnir.PC34",0.681445128099766
"117","visnir.PC57",0.675623589434269
"79","visnir.PC19",0.632101283099518
"110","visnir.PC50",0.620566874380079
"144","clm_lst_mod11a2.jun.night_m_1km_s0..0cm_2000..2017_v1.0",0.588452058335154
"119","visnir.PC59",0.563802714407337
"178","clm_water.vapor.pressure_worldclim.jun_m_1km_1990..2010_v2.1",0.525973966068056
"111","visnir.PC51",0.514221269649783
"173","clm_water.vapor.pressure_worldclim.aug_m_1km_1990..2010_v2.1",0.492506839705879
"138","clm_lst_mod11a2.jan.night_m_1km_s0..0cm_2000..2017_v1.0",0.477023519308443
"133","clm_lst_mod11a2.feb.day_m_1km_s0..0cm_2000..2017_v1.0",0.475188230432677
"176","clm_water.vapor.pressure_worldclim.jan_m_1km_1990..2010_v2.1",0.4437539979266
"129","clm_lst_mod11a2.aug.night_m_1km_s0..0cm_2000..2017_v1.0",0.431344131274561
"153","clm_lst_mod11a2.nov.night_m_1km_s0..0cm_2000..2017_v1.0",0.421942831241905
"159","clm_lst_mod11a2.sep.night_m_1km_s0..0cm_2000..2017_v1.0",0.414479434912968
"135","clm_lst_mod11a2.feb.night_m_1km_s0..0cm_2000..2017_v1.0",0.411971948120381
"136","clm_lst_mod11a2.jan.day_m_1km_s0..0cm_2000..2017_v1.0",0.384369245003008
"132","clm_lst_mod11a2.dec.night_m_1km_s0..0cm_2000..2017_v1.0",0.375237588659246
"126","clm_lst_mod11a2.apr.night_m_1km_s0..0cm_2000..2017_v1.0",0.374714525012268
"156","clm_lst_mod11a2.oct.night_m_1km_s0..0cm_2000..2017_v1.0",0.367907644898959
"182","clm_water.vapor.pressure_worldclim.oct_m_1km_1990..2010_v2.1",0.334912025792793
"181","clm_water.vapor.pressure_worldclim.nov_m_1km_1990..2010_v2.1",0.297350186586786
"123","clm_lst_mod11a2.annual.night_m_1km_s0..0cm_2000..2017_v1.0",0.294396771025579
"147","clm_lst_mod11a2.mar.night_m_1km_s0..0cm_2000..2017_v1.0",0.293562900522313
"177","clm_water.vapor.pressure_worldclim.jul_m_1km_1990..2010_v2.1",0.290908330879094
"172","clm_water.vapor.pressure_worldclim.apr_m_1km_1990..2010_v2.1",0.283215523374915
"179","clm_water.vapor.pressure_worldclim.mar_m_1km_1990..2010_v2.1",0.282753997251491
"151","clm_lst_mod11a2.nov.day_m_1km_s0..0cm_2000..2017_v1.0",0.232924565779252
"180","clm_water.vapor.pressure_worldclim.may_m_1km_1990..2010_v2.1",0.169801446397785
"50","mir.PC50",0
"76","visnir.PC16",0
"184","dataset.code_ascii_c_AFSIS1.SSL",0
"185","dataset.code_ascii_c_CAF.SSL",0
"188","dataset.code_ascii_c_LUCAS.SSL",0
"189","dataset.code_ascii_c_NEON.SSL",0
