soil_property,description,export_name,model_name,spectra_type,subset,geo,count,file_description,file_code,file_extension,path,exists,size
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na,942,train_data,task_,.qs,~/mnt-ossl/ossl_models/log..ec_usda.a364_ds.m/task_nir.neospectra_cubist_ossl_na_v1.2.qs,FALSE,NA
mn.ext_usda.a70_mg.kg,"Manganese, Extractable, KCl",log..mn.ext_usda.a70_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na,716,model,model_,.qs,~/mnt-ossl/ossl_models/log..mn.ext_usda.a70_mg.kg/model_nir.neospectra_cubist_ossl_na_v1.2.qs,FALSE,NA
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na,754,model,model_,.qs,~/mnt-ossl/ossl_models/log..p.ext_usda.a1070_mg.kg/model_nir.neospectra_cubist_ossl_na_v1.2.qs,FALSE,NA
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na,754,train_data,task_,.qs,~/mnt-ossl/ossl_models/log..p.ext_usda.a1070_mg.kg/task_nir.neospectra_cubist_ossl_na_v1.2.qs,FALSE,NA
