soil_property,model_name,unit_transform,n,rmse,bias,rsq,nse,kge,kge_r,kge_alpha,kge_beta,ccc,rpiq
ca.ext_usda.a1059_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.434,-0.022,0.941,0.94,0.902,0.97,0.906,1.003,0.969,4.778
ca.ext_usda.a1059_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3773,0.413,-0.02,0.937,0.936,0.886,0.968,0.89,1.003,0.966,5.355
ca.ext_usda.a722_cmolc.kg,mir_cubist_kssl_na_v1.2,log1p,53232,0.27,-0.01,0.957,0.956,0.931,0.978,0.934,1.004,0.977,7.034
ca.ext_usda.a722_cmolc.kg,mir_cubist_ossl_na_v1.2,log1p,57085,0.278,-0.012,0.955,0.955,0.931,0.977,0.935,1.005,0.977,7.014
ca.ext_usda.a722_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,1976,0.579,-0.016,0.801,0.8,0.74,0.895,0.763,1.007,0.887,3.297
ca.ext_usda.a722_cmolc.kg,visnir_cubist_ossl_na_v1.2,log1p,3723,0.505,-0.007,0.853,0.85,0.745,0.924,0.757,1.004,0.915,4.847
caco3_usda.a54_w.pct,mir_cubist_kssl_na_v1.2,log1p,27476,0.18,-0.002,0.979,0.979,0.986,0.99,0.991,1.002,0.99,12.58
caco3_usda.a54_w.pct,mir_cubist_ossl_na_v1.2,log1p,29225,0.201,-0.001,0.974,0.974,0.978,0.987,0.982,1.001,0.987,11.23
caco3_usda.a54_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,665,0.645,-0.017,0.666,0.665,0.652,0.816,0.705,1.013,0.803,3.058
caco3_usda.a54_w.pct,visnir_cubist_kssl_na_v1.2,log1p,9213,0.393,0.02,0.873,0.871,0.807,0.934,0.82,0.976,0.929,2.913
caco3_usda.a54_w.pct,visnir_cubist_ossl_na_v1.2,log1p,51094,0.36,0.006,0.914,0.913,0.883,0.956,0.892,0.993,0.954,3.141
cec_usda.a723_cmolc.kg,mir_cubist_kssl_na_v1.2,log1p,53227,0.158,-0.003,0.969,0.969,0.966,0.984,0.97,1.001,0.984,6.68
cec_usda.a723_cmolc.kg,mir_cubist_ossl_na_v1.2,log1p,57651,0.175,-0.004,0.961,0.961,0.955,0.981,0.959,1.001,0.98,6.116
cec_usda.a723_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,1976,0.375,-0.03,0.717,0.714,0.623,0.847,0.655,1.011,0.827,2.519
cec_usda.a723_cmolc.kg,visnir_cubist_ossl_na_v1.2,log1p,22687,0.345,-0.02,0.798,0.795,0.7,0.893,0.72,1.008,0.881,2.94
cf_usda.c236_w.pct,mir_cubist_kssl_na_v1.2,log1p,55881,0.894,0.051,0.589,0.582,0.425,0.767,0.477,0.953,0.717,2.327
cf_usda.c236_w.pct,mir_cubist_ossl_na_v1.2,log1p,56470,0.902,0.052,0.582,0.575,0.424,0.763,0.477,0.953,0.713,2.306
cf_usda.c236_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1969,1.163,0.112,0.327,0.32,0.17,0.572,0.294,0.92,0.477,2.294
cf_usda.c236_w.pct,visnir_cubist_ossl_na_v1.2,log1p,23237,0.666,-0.041,0.331,0.326,0.161,0.575,0.276,1.017,0.473,1.65
clay.tot_usda.a334_w.pct,mir_cubist_kssl_na_v1.2,original,50007,3.953,0.022,0.941,0.94,0.896,0.97,0.9,0.999,0.968,5.688
clay.tot_usda.a334_w.pct,mir_cubist_ossl_na_v1.2,original,57268,5.639,0.104,0.898,0.897,0.858,0.947,0.868,0.996,0.945,4.2
clay.tot_usda.a334_w.pct,nir.neospectra_cubist_ossl_na_v1.2,original,1976,7.302,0.121,0.721,0.719,0.616,0.849,0.647,0.994,0.829,2.602
clay.tot_usda.a334_w.pct,visnir_cubist_ossl_na_v1.2,original,27145,6.611,0.273,0.818,0.816,0.726,0.904,0.743,0.986,0.894,3.025
cu.ext_usda.a1063_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.252,0.004,0.862,0.86,0.769,0.928,0.78,0.996,0.921,4.245
cu.ext_usda.a1063_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3772,0.286,0.012,0.782,0.777,0.646,0.884,0.666,0.986,0.866,3.231
ec_usda.a364_ds.m,mir_cubist_kssl_na_v1.2,log1p,31886,0.317,0.029,0.866,0.862,0.756,0.931,0.772,0.951,0.922,1.724
ec_usda.a364_ds.m,mir_cubist_ossl_na_v1.2,log1p,34040,0.313,0.03,0.865,0.861,0.744,0.93,0.759,0.948,0.921,1.69
ec_usda.a364_ds.m,nir.neospectra_cubist_ossl_na_v1.2,log1p,942,0.362,0.058,0.545,0.518,0.309,0.739,0.378,0.85,0.653,0.7
ec_usda.a364_ds.m,visnir_cubist_ossl_na_v1.2,log1p,21833,0.119,0.016,0.618,0.601,0.43,0.786,0.477,0.923,0.732,1.279
fe.dith_usda.a66_w.pct,mir_cubist_kssl_na_v1.2,log1p,31138,0.149,0,0.909,0.908,0.863,0.953,0.871,0.999,0.951,4.399
fe.dith_usda.a66_w.pct,mir_cubist_ossl_na_v1.2,log1p,31138,0.146,0,0.912,0.912,0.863,0.955,0.871,1,0.953,4.481
fe.dith_usda.a66_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1773,0.248,-0,0.621,0.618,0.497,0.788,0.544,1.001,0.753,2.147
fe.ext_usda.a1064_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.424,0.011,0.802,0.801,0.732,0.896,0.754,0.998,0.887,2.597
fe.ext_usda.a1064_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3773,0.389,0.004,0.761,0.758,0.643,0.872,0.667,0.999,0.855,2.375
