soil_property,dataset,n_mir,n_neospectra,n_visnir
awc.33.1500kPa_usda.c80_w.frac,ICRAF.ISRIC,0,0,0
awc.33.1500kPa_usda.c80_w.frac,KSSL.SSL,16175,931,0
awc.33.1500kPa_usda.c80_w.frac,LUCAS.SSL,0,0,0
awc.33.1500kPa_usda.c80_w.frac,LUCAS.WOODWELL.SSL,0,0,0
awc.33.1500kPa_usda.c80_w.frac,OSSL,16175,931,0
awc.33.1500kPa_usda.c80_w.frac,SCHIEDUNG.SSL,0,0,0
awc.33.1500kPa_usda.c80_w.frac,SERBIA.SSL,0,0,0
b.ext_mel3_mg.kg,AFSIS1.SSL,1902,0,0
b.ext_mel3_mg.kg,AFSIS2.SSL,7,0,0
b.ext_mel3_mg.kg,CAF.SSL,0,0,0
b.ext_mel3_mg.kg,GARRETT.SSL,184,0,0
b.ext_mel3_mg.kg,ICRAF.ISRIC,0,0,0
b.ext_mel3_mg.kg,KSSL.SSL,0,0,0
b.ext_mel3_mg.kg,LUCAS.SSL,0,0,0
b.ext_mel3_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
b.ext_mel3_mg.kg,OSSL,2093,0,0
b.ext_mel3_mg.kg,SCHIEDUNG.SSL,0,0,0
b.ext_mel3_mg.kg,SERBIA.SSL,0,0,0
bd_usda.a4_g.cm3,AFSIS1.SSL,0,0,0
bd_usda.a4_g.cm3,AFSIS2.SSL,0,0,0
bd_usda.a4_g.cm3,CAF.SSL,0,0,0
bd_usda.a4_g.cm3,GARRETT.SSL,90,0,0
bd_usda.a4_g.cm3,ICRAF.ISRIC,999,0,999
bd_usda.a4_g.cm3,KSSL.SSL,40136,1085,19752
bd_usda.a4_g.cm3,LUCAS.SSL,0,0,0
bd_usda.a4_g.cm3,LUCAS.WOODWELL.SSL,0,0,0
bd_usda.a4_g.cm3,OSSL,41484,1085,20751
bd_usda.a4_g.cm3,SCHIEDUNG.SSL,259,0,0
bd_usda.a4_g.cm3,SERBIA.SSL,0,0,0
c.tot_usda.a622_w.pct,AFSIS1.SSL,1902,0,0
c.tot_usda.a622_w.pct,AFSIS2.SSL,151,0,0
c.tot_usda.a622_w.pct,CAF.SSL,1562,0,0
c.tot_usda.a622_w.pct,GARRETT.SSL,184,0,0
c.tot_usda.a622_w.pct,ICRAF.ISRIC,0,0,0
c.tot_usda.a622_w.pct,KSSL.SSL,76595,1976,19807
c.tot_usda.a622_w.pct,LUCAS.SSL,0,0,0
c.tot_usda.a622_w.pct,LUCAS.WOODWELL.SSL,0,0,0
c.tot_usda.a622_w.pct,OSSL,80698,1976,19807
c.tot_usda.a622_w.pct,SCHIEDUNG.SSL,259,0,0
c.tot_usda.a622_w.pct,SERBIA.SSL,45,0,0
ca.ext_aquaregia_mg.kg,AFSIS1.SSL,0,0,0
ca.ext_aquaregia_mg.kg,AFSIS2.SSL,0,0,0
ca.ext_aquaregia_mg.kg,CAF.SSL,493,0,0
ca.ext_aquaregia_mg.kg,GARRETT.SSL,0,0,0
ca.ext_aquaregia_mg.kg,ICRAF.ISRIC,0,0,0
ca.ext_aquaregia_mg.kg,KSSL.SSL,0,0,0
ca.ext_aquaregia_mg.kg,LUCAS.SSL,0,0,0
ca.ext_aquaregia_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
ca.ext_aquaregia_mg.kg,OSSL,493,0,0
ca.ext_aquaregia_mg.kg,SCHIEDUNG.SSL,0,0,0
ca.ext_aquaregia_mg.kg,SERBIA.SSL,0,0,0
ca.ext_usda.a1059_mg.kg,AFSIS1.SSL,1904,0,0
ca.ext_usda.a1059_mg.kg,AFSIS2.SSL,151,0,0
ca.ext_usda.a1059_mg.kg,CAF.SSL,0,0,0
ca.ext_usda.a1059_mg.kg,GARRETT.SSL,184,0,0
ca.ext_usda.a1059_mg.kg,ICRAF.ISRIC,0,0,0
ca.ext_usda.a1059_mg.kg,KSSL.SSL,1534,76,0
ca.ext_usda.a1059_mg.kg,LUCAS.SSL,0,0,0
ca.ext_usda.a1059_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
ca.ext_usda.a1059_mg.kg,OSSL,3773,76,0
ca.ext_usda.a1059_mg.kg,SCHIEDUNG.SSL,0,0,0
ca.ext_usda.a1059_mg.kg,SERBIA.SSL,0,0,0
ca.ext_usda.a722_cmolc.kg,AFSIS1.SSL,0,0,0
ca.ext_usda.a722_cmolc.kg,AFSIS2.SSL,0,0,0
ca.ext_usda.a722_cmolc.kg,CAF.SSL,0,0,0
ca.ext_usda.a722_cmolc.kg,GARRETT.SSL,183,0,0
ca.ext_usda.a722_cmolc.kg,ICRAF.ISRIC,3670,0,3672
ca.ext_usda.a722_cmolc.kg,KSSL.SSL,53232,1976,51
ca.ext_usda.a722_cmolc.kg,LUCAS.SSL,0,0,0
ca.ext_usda.a722_cmolc.kg,LUCAS.WOODWELL.SSL,0,0,0
ca.ext_usda.a722_cmolc.kg,OSSL,57085,1976,3723
ca.ext_usda.a722_cmolc.kg,SCHIEDUNG.SSL,0,0,0
ca.ext_usda.a722_cmolc.kg,SERBIA.SSL,0,0,0
caco3_usda.a54_w.pct,AFSIS1.SSL,0,0,0
caco3_usda.a54_w.pct,AFSIS2.SSL,0,0,0
caco3_usda.a54_w.pct,CAF.SSL,0,0,0
caco3_usda.a54_w.pct,GARRETT.SSL,0,0,0
caco3_usda.a54_w.pct,ICRAF.ISRIC,1115,0,1117
caco3_usda.a54_w.pct,KSSL.SSL,27476,665,9213
caco3_usda.a54_w.pct,LUCAS.SSL,0,0,40175
caco3_usda.a54_w.pct,LUCAS.WOODWELL.SSL,589,0,589
caco3_usda.a54_w.pct,OSSL,29225,665,51094
