soil_property,dataset,n_mir,n_neospectra,n_visnir
na.ext_aquaregia_mg.kg,AFSIS2.SSL,0,0,0
na.ext_aquaregia_mg.kg,CAF.SSL,493,0,0
na.ext_aquaregia_mg.kg,GARRETT.SSL,0,0,0
na.ext_aquaregia_mg.kg,ICRAF.ISRIC,0,0,0
na.ext_aquaregia_mg.kg,KSSL.SSL,0,0,0
na.ext_aquaregia_mg.kg,LUCAS.SSL,0,0,0
na.ext_aquaregia_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
na.ext_aquaregia_mg.kg,OSSL,493,0,0
na.ext_aquaregia_mg.kg,SCHIEDUNG.SSL,0,0,0
na.ext_aquaregia_mg.kg,SERBIA.SSL,0,0,0
na.ext_usda.a1068_mg.kg,AFSIS1.SSL,1898,0,0
na.ext_usda.a1068_mg.kg,AFSIS2.SSL,0,0,0
na.ext_usda.a1068_mg.kg,CAF.SSL,0,0,0
na.ext_usda.a1068_mg.kg,GARRETT.SSL,184,0,0
na.ext_usda.a1068_mg.kg,ICRAF.ISRIC,0,0,0
na.ext_usda.a1068_mg.kg,KSSL.SSL,1534,76,0
na.ext_usda.a1068_mg.kg,LUCAS.SSL,0,0,0
na.ext_usda.a1068_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
na.ext_usda.a1068_mg.kg,OSSL,3616,76,0
na.ext_usda.a1068_mg.kg,SCHIEDUNG.SSL,0,0,0
na.ext_usda.a1068_mg.kg,SERBIA.SSL,0,0,0
na.ext_usda.a726_cmolc.kg,AFSIS1.SSL,0,0,0
na.ext_usda.a726_cmolc.kg,AFSIS2.SSL,0,0,0
na.ext_usda.a726_cmolc.kg,CAF.SSL,0,0,0
na.ext_usda.a726_cmolc.kg,GARRETT.SSL,183,0,0
na.ext_usda.a726_cmolc.kg,ICRAF.ISRIC,3662,0,3664
na.ext_usda.a726_cmolc.kg,KSSL.SSL,53230,1976,51
na.ext_usda.a726_cmolc.kg,LUCAS.SSL,0,0,0
na.ext_usda.a726_cmolc.kg,LUCAS.WOODWELL.SSL,0,0,0
na.ext_usda.a726_cmolc.kg,OSSL,57075,1976,3715
na.ext_usda.a726_cmolc.kg,SCHIEDUNG.SSL,0,0,0
na.ext_usda.a726_cmolc.kg,SERBIA.SSL,0,0,0
oc_usda.c729_w.pct,AFSIS1.SSL,1902,0,0
oc_usda.c729_w.pct,AFSIS2.SSL,151,0,0
oc_usda.c729_w.pct,CAF.SSL,0,0,0
oc_usda.c729_w.pct,GARRETT.SSL,0,0,0
oc_usda.c729_w.pct,ICRAF.ISRIC,3698,0,3700
oc_usda.c729_w.pct,KSSL.SSL,75929,1974,19747
oc_usda.c729_w.pct,LUCAS.SSL,0,0,40175
oc_usda.c729_w.pct,LUCAS.WOODWELL.SSL,589,0,589
oc_usda.c729_w.pct,OSSL,82573,1974,64211
oc_usda.c729_w.pct,SCHIEDUNG.SSL,259,0,0
oc_usda.c729_w.pct,SERBIA.SSL,45,0,0
p.ext_aquaregia_mg.kg,AFSIS1.SSL,0,0,0
p.ext_aquaregia_mg.kg,AFSIS2.SSL,0,0,0
p.ext_aquaregia_mg.kg,CAF.SSL,493,0,0
p.ext_aquaregia_mg.kg,GARRETT.SSL,0,0,0
p.ext_aquaregia_mg.kg,ICRAF.ISRIC,0,0,0
p.ext_aquaregia_mg.kg,KSSL.SSL,0,0,0
p.ext_aquaregia_mg.kg,LUCAS.SSL,0,0,0
p.ext_aquaregia_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
p.ext_aquaregia_mg.kg,OSSL,493,0,0
p.ext_aquaregia_mg.kg,SCHIEDUNG.SSL,0,0,0
p.ext_aquaregia_mg.kg,SERBIA.SSL,0,0,0
p.ext_usda.a1070_mg.kg,AFSIS1.SSL,1904,0,0
p.ext_usda.a1070_mg.kg,AFSIS2.SSL,0,0,0
p.ext_usda.a1070_mg.kg,CAF.SSL,0,0,0
p.ext_usda.a1070_mg.kg,GARRETT.SSL,184,0,0
p.ext_usda.a1070_mg.kg,ICRAF.ISRIC,0,0,0
p.ext_usda.a1070_mg.kg,KSSL.SSL,25602,754,0
p.ext_usda.a1070_mg.kg,LUCAS.SSL,0,0,0
p.ext_usda.a1070_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
p.ext_usda.a1070_mg.kg,OSSL,27690,754,0
p.ext_usda.a1070_mg.kg,SCHIEDUNG.SSL,0,0,0
p.ext_usda.a1070_mg.kg,SERBIA.SSL,0,0,0
p.ext_usda.a270_mg.kg,AFSIS1.SSL,0,0,0
p.ext_usda.a270_mg.kg,AFSIS2.SSL,0,0,0
p.ext_usda.a270_mg.kg,CAF.SSL,0,0,0
p.ext_usda.a270_mg.kg,GARRETT.SSL,136,0,0
p.ext_usda.a270_mg.kg,ICRAF.ISRIC,0,0,0
p.ext_usda.a270_mg.kg,KSSL.SSL,7146,266,0
p.ext_usda.a270_mg.kg,LUCAS.SSL,0,0,0
p.ext_usda.a270_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
p.ext_usda.a270_mg.kg,OSSL,7282,266,0
p.ext_usda.a270_mg.kg,SCHIEDUNG.SSL,0,0,0
p.ext_usda.a270_mg.kg,SERBIA.SSL,0,0,0
p.ext_usda.a274_mg.kg,AFSIS1.SSL,0,0,0
p.ext_usda.a274_mg.kg,AFSIS2.SSL,0,0,0
p.ext_usda.a274_mg.kg,CAF.SSL,0,0,0
p.ext_usda.a274_mg.kg,GARRETT.SSL,136,0,0
p.ext_usda.a274_mg.kg,ICRAF.ISRIC,0,0,0
p.ext_usda.a274_mg.kg,KSSL.SSL,15359,281,0
p.ext_usda.a274_mg.kg,LUCAS.SSL,0,0,40175
p.ext_usda.a274_mg.kg,LUCAS.WOODWELL.SSL,589,0,589
p.ext_usda.a274_mg.kg,OSSL,16084,281,40764
p.ext_usda.a274_mg.kg,SCHIEDUNG.SSL,0,0,0
p.ext_usda.a274_mg.kg,SERBIA.SSL,0,0,0
ph.cacl2_usda.a481_index,AFSIS1.SSL,0,0,0
ph.cacl2_usda.a481_index,AFSIS2.SSL,0,0,0
ph.cacl2_usda.a481_index,CAF.SSL,0,0,0
ph.cacl2_usda.a481_index,GARRETT.SSL,0,0,0
ph.cacl2_usda.a481_index,ICRAF.ISRIC,34,0,34
ph.cacl2_usda.a481_index,KSSL.SSL,52946,1976,50
ph.cacl2_usda.a481_index,LUCAS.SSL,0,0,40175
ph.cacl2_usda.a481_index,LUCAS.WOODWELL.SSL,589,0,589
ph.cacl2_usda.a481_index,OSSL,53819,1976,40848
ph.cacl2_usda.a481_index,SCHIEDUNG.SSL,250,0,0
ph.cacl2_usda.a481_index,SERBIA.SSL,0,0,0
ph.h2o_usda.a268_index,AFSIS1.SSL,1904,0,0
ph.h2o_usda.a268_index,AFSIS2.SSL,151,0,0
ph.h2o_usda.a268_index,CAF.SSL,483,0,0
ph.h2o_usda.a268_index,GARRETT.SSL,184,0,0
ph.h2o_usda.a268_index,ICRAF.ISRIC,3774,0,3776
ph.h2o_usda.a268_index,KSSL.SSL,52867,1976,50
ph.h2o_usda.a268_index,LUCAS.SSL,0,0,40175
ph.h2o_usda.a268_index,LUCAS.WOODWELL.SSL,589,0,589
ph.h2o_usda.a268_index,OSSL,59997,1976,44590
ph.h2o_usda.a268_index,SCHIEDUNG.SSL,0,0,0
ph.h2o_usda.a268_index,SERBIA.SSL,45,0,0
s.ext_mel3_mg.kg,AFSIS1.SSL,1902,0,0
s.ext_mel3_mg.kg,AFSIS2.SSL,151,0,0
s.ext_mel3_mg.kg,CAF.SSL,0,0,0
s.ext_mel3_mg.kg,GARRETT.SSL,0,0,0
s.ext_mel3_mg.kg,ICRAF.ISRIC,0,0,0
s.ext_mel3_mg.kg,KSSL.SSL,0,0,0
s.ext_mel3_mg.kg,LUCAS.SSL,0,0,0
s.ext_mel3_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
s.ext_mel3_mg.kg,OSSL,2053,0,0
s.ext_mel3_mg.kg,SCHIEDUNG.SSL,0,0,0
s.ext_mel3_mg.kg,SERBIA.SSL,0,0,0
s.tot_usda.a624_w.pct,AFSIS1.SSL,0,0,0
s.tot_usda.a624_w.pct,AFSIS2.SSL,0,0,0
s.tot_usda.a624_w.pct,CAF.SSL,0,0,0
s.tot_usda.a624_w.pct,GARRETT.SSL,0,0,0
s.tot_usda.a624_w.pct,ICRAF.ISRIC,0,0,0
s.tot_usda.a624_w.pct,KSSL.SSL,76592,1976,19807
s.tot_usda.a624_w.pct,LUCAS.SSL,0,0,0
s.tot_usda.a624_w.pct,LUCAS.WOODWELL.SSL,0,0,0
s.tot_usda.a624_w.pct,OSSL,76592,1976,19807
s.tot_usda.a624_w.pct,SCHIEDUNG.SSL,0,0,0
s.tot_usda.a624_w.pct,SERBIA.SSL,0,0,0
sand.tot_usda.c60_w.pct,AFSIS1.SSL,1891,0,0
sand.tot_usda.c60_w.pct,AFSIS2.SSL,0,0,0
sand.tot_usda.c60_w.pct,CAF.SSL,464,0,0
sand.tot_usda.c60_w.pct,GARRETT.SSL,142,0,0
sand.tot_usda.c60_w.pct,ICRAF.ISRIC,3679,0,3681
sand.tot_usda.c60_w.pct,KSSL.SSL,50012,1976,166
sand.tot_usda.c60_w.pct,LUCAS.SSL,0,0,22650
sand.tot_usda.c60_w.pct,LUCAS.WOODWELL.SSL,589,0,589
sand.tot_usda.c60_w.pct,OSSL,57162,1976,27086
sand.tot_usda.c60_w.pct,SCHIEDUNG.SSL,250,0,0
sand.tot_usda.c60_w.pct,SERBIA.SSL,135,0,0
silt.tot_usda.c62_w.pct,AFSIS1.SSL,1890,0,0
silt.tot_usda.c62_w.pct,AFSIS2.SSL,0,0,0
silt.tot_usda.c62_w.pct,CAF.SSL,464,0,0
silt.tot_usda.c62_w.pct,GARRETT.SSL,142,0,0
silt.tot_usda.c62_w.pct,ICRAF.ISRIC,3732,0,3734
silt.tot_usda.c62_w.pct,KSSL.SSL,50013,1976,166
silt.tot_usda.c62_w.pct,LUCAS.SSL,0,0,22650
silt.tot_usda.c62_w.pct,LUCAS.WOODWELL.SSL,589,0,589
silt.tot_usda.c62_w.pct,OSSL,57215,1976,27139
silt.tot_usda.c62_w.pct,SCHIEDUNG.SSL,250,0,0
silt.tot_usda.c62_w.pct,SERBIA.SSL,135,0,0
wr.10kPa_usda.a414_w.pct,AFSIS1.SSL,0,0,0
wr.10kPa_usda.a414_w.pct,AFSIS2.SSL,0,0,0
wr.10kPa_usda.a414_w.pct,CAF.SSL,0,0,0
wr.10kPa_usda.a414_w.pct,GARRETT.SSL,90,0,0
wr.10kPa_usda.a414_w.pct,ICRAF.ISRIC,928,0,928
wr.10kPa_usda.a414_w.pct,KSSL.SSL,3092,195,0
wr.10kPa_usda.a414_w.pct,LUCAS.SSL,0,0,0
wr.10kPa_usda.a414_w.pct,LUCAS.WOODWELL.SSL,0,0,0
wr.10kPa_usda.a414_w.pct,OSSL,4110,195,928
wr.10kPa_usda.a414_w.pct,SCHIEDUNG.SSL,0,0,0
wr.10kPa_usda.a414_w.pct,SERBIA.SSL,0,0,0
wr.1500kPa_usda.a417_w.pct,AFSIS1.SSL,0,0,0
wr.1500kPa_usda.a417_w.pct,AFSIS2.SSL,0,0,0
wr.1500kPa_usda.a417_w.pct,CAF.SSL,0,0,0
wr.1500kPa_usda.a417_w.pct,GARRETT.SSL,90,0,0
wr.1500kPa_usda.a417_w.pct,ICRAF.ISRIC,971,0,971
wr.1500kPa_usda.a417_w.pct,KSSL.SSL,40284,1951,0
wr.1500kPa_usda.a417_w.pct,LUCAS.SSL,0,0,0
wr.1500kPa_usda.a417_w.pct,LUCAS.WOODWELL.SSL,0,0,0
wr.1500kPa_usda.a417_w.pct,OSSL,41345,1951,971
wr.1500kPa_usda.a417_w.pct,SCHIEDUNG.SSL,0,0,0
wr.1500kPa_usda.a417_w.pct,SERBIA.SSL,0,0,0
wr.33kPa_usda.a415_w.pct,AFSIS1.SSL,0,0,0
wr.33kPa_usda.a415_w.pct,AFSIS2.SSL,0,0,0
wr.33kPa_usda.a415_w.pct,CAF.SSL,0,0,0
wr.33kPa_usda.a415_w.pct,GARRETT.SSL,0,0,0
wr.33kPa_usda.a415_w.pct,ICRAF.ISRIC,923,0,923
wr.33kPa_usda.a415_w.pct,KSSL.SSL,18536,1032,0
wr.33kPa_usda.a415_w.pct,LUCAS.SSL,0,0,0
wr.33kPa_usda.a415_w.pct,LUCAS.WOODWELL.SSL,0,0,0
wr.33kPa_usda.a415_w.pct,OSSL,19459,1032,923
wr.33kPa_usda.a415_w.pct,SCHIEDUNG.SSL,0,0,0
wr.33kPa_usda.a415_w.pct,SERBIA.SSL,0,0,0
zn.ext_usda.a1073_mg.kg,AFSIS1.SSL,1904,0,0
zn.ext_usda.a1073_mg.kg,AFSIS2.SSL,138,0,0
zn.ext_usda.a1073_mg.kg,CAF.SSL,0,0,0
zn.ext_usda.a1073_mg.kg,GARRETT.SSL,184,0,0
zn.ext_usda.a1073_mg.kg,ICRAF.ISRIC,0,0,0
zn.ext_usda.a1073_mg.kg,KSSL.SSL,1534,76,0
zn.ext_usda.a1073_mg.kg,LUCAS.SSL,0,0,0
zn.ext_usda.a1073_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
zn.ext_usda.a1073_mg.kg,OSSL,3760,76,0
zn.ext_usda.a1073_mg.kg,SCHIEDUNG.SSL,0,0,0
zn.ext_usda.a1073_mg.kg,SERBIA.SSL,0,0,0
