soil_property,description,export_name,model_name,spectra_type,subset,geo,count
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,mir_mlr3..eml_kssl_m2_v1.2,mir,kssl,m2,50007
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,mir_mlr3..eml_ossl_m2_v1.2,mir,ossl,m2,57268
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",k.ext_usda.a725_cmolc.kg,mir_mlr3..eml_kssl_m2_v1.2,mir,kssl,m2,53230
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",k.ext_usda.a725_cmolc.kg,mir_mlr3..eml_ossl_m2_v1.2,mir,ossl,m2,57674
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",oc_usda.c729_w.pct,mir_mlr3..eml_kssl_m2_v1.2,mir,kssl,m2,75929
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",oc_usda.c729_w.pct,mir_mlr3..eml_ossl_m2_v1.2,mir,ossl,m2,82573
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,mir_mlr3..eml_kssl_m2_v1.2,mir,kssl,m2,52867
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,mir_mlr3..eml_ossl_m2_v1.2,mir,ossl,m2,59997
