soil_property,spectra,model_type,base_predictions,geocovariates,pca_compression,n,rmse,bias,rsq,ccc,rpiq
s.tot_usda.a624_w.pct,visnir,cubist,insample,na,cumvar99perc,521,0.06396491174125608,0.003074531326334664,0.6436960797694847,0.7681544791565342,1.2154752739505306
s.tot_usda.a624_w.pct,visnir,cubist,insample,na,n120,521,0.06408188550960084,0.003696056429440533,0.6414645054429589,0.7698026804851784,1.2132565701469016
s.tot_usda.a624_w.pct,visnir,ensemble,insample,na,cumvar99perc,521,0.07533470642517787,-0.004422413817074183,0.5273226189950726,0.7202169488012844,1.032031215242652
s.tot_usda.a624_w.pct,visnir,ensemble,insample,na,n120,521,0.07593079695650856,-0.0060201183083718815,0.527188660361021,0.7212020589486073,1.0239293111391534
s.tot_usda.a624_w.pct,visnir,ensemble,cv5,ll,n120,521,0.08828471013102919,0.00849791405432752,0.3256820297783863,0.5187183512981447,0.8806481723339651
s.tot_usda.a624_w.pct,visnir,ensemble,cv5,ll,cumvar99perc,521,0.0917242337734945,0.001962262626835598,0.2709315644291716,0.4692200304785917,0.8476251632029601
s.tot_usda.a624_w.pct,visnir,cubist,insample,ll,n120,521,0.09200203850332477,0.018178475915481926,0.28884775697105314,0.40033951773725507,0.845065716876644
s.tot_usda.a624_w.pct,visnir,cubist,insample,ll,cumvar99perc,521,0.09254444035074096,0.020608327358356847,0.2958238326552556,0.3825894219219016,0.8401127969142477
s.tot_usda.a624_w.pct,visnir,ensemble,insample,ll,n120,521,0.0956383361362741,0.0030888300701354013,0.22239779120933947,0.42721232958210625,0.8129351864836161
s.tot_usda.a624_w.pct,visnir,ensemble,insample,ll,cumvar99perc,521,0.10265396274113951,0.00635079263922893,0.1435139276166297,0.3432322434402018,0.7573771781025129
