soil_property,model_name,n,rmse,bias,rsq,ccc,rpiq
log..caco3_usda.a54_w.pct,visnir.mir_mlr..eml_ossl_na_v1.2.rds,4705,0.4119045568567464,1.7921666040442218e-17,0.8847031758208829,0.9388249430158148,4.270727495794546
log..al.ox_usda.a59_w.pct,mir_mlr..eml_kssl_ll_v1.2.rds,16126,0.08606808096433793,-6.609289989086881e-19,0.9003487019581028,0.9475615722844873,2.3520280231867376
log..al.ox_usda.a59_w.pct,mir_mlr..eml_kssl_na_v1.2.rds,28260,0.08205870522810563,-1.664745246584961e-18,0.881109045926461,0.9367974151572991,1.8266211157089907
log..al.ox_usda.a59_w.pct,mir_mlr..eml_ossl_ll_v1.2.rds,16126,0.08684553316115004,1.583045434235067e-18,0.8985402723702517,0.9465590858901926,2.3309723708459655
ph.h2o_usda.a268_index,mir_mlr..eml_kssl_ll_v1.2.rds,35376,0.48496300163032185,-3.514953040423381e-17,0.8657633077403054,0.9280526679333855,4.825110353023874
ph.h2o_usda.a268_index,mir_mlr..eml_kssl_na_v1.2.rds,52867,0.5348502847661856,1.9048114934760854e-16,0.8365187868221658,0.9109830978311345,4.188087888892563
ph.h2o_usda.a268_index,mir_mlr..eml_ossl_ll_v1.2.rds,41033,0.4981289940207542,1.0697189457651205e-16,0.8593523720637207,0.9243566577000283,4.677503273184138
ph.h2o_usda.a268_index,nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,1698,0.7097799218798666,1.1754437235099382e-16,0.6817772991470902,0.8107819025656398,2.9163969509274974
ph.h2o_usda.a268_index,nir.neospectra_mlr..eml_ossl_na_v1.2.rds,1976,0.7559467704693763,7.731107701843196e-17,0.6453263006611484,0.7844356470832978,2.870572485748727
ph.h2o_usda.a268_index,visnir.mir_mlr..eml_ossl_ll_v1.2.rds,3423,0.6108112207680757,-2.1920661150830036e-16,0.811984662283172,0.8962378977976994,3.601767494109833
ph.h2o_usda.a268_index,visnir.mir_mlr..eml_ossl_na_v1.2.rds,4413,0.610376033589858,6.319692358618611e-17,0.8067483271882049,0.8930389640307306,3.68625220549188
ph.cacl2_usda.a481_index,mir_mlr..eml_kssl_ll_v1.2.rds,35435,0.48540818537326735,-9.875660563999586e-18,0.8798048231646183,0.9360597571863689,5.335715544245203
ph.cacl2_usda.a481_index,mir_mlr..eml_kssl_na_v1.2.rds,52946,0.5209069486033987,2.79407840329787e-16,0.859149279341624,0.9242391548524523,4.722532511028113
ph.cacl2_usda.a481_index,mir_mlr..eml_ossl_ll_v1.2.rds,35635,0.4821871305845293,-1.0732415533124003e-16,0.8812766761184215,0.936892151277538,5.37135861933993
log..k.ext_usda.a725_cmolc.kg,mir_mlr..eml_kssl_ll_v1.2.rds,33340,0.1953452120761487,3.2034629564769056e-18,0.6633669634978923,0.7976195007539381,1.9384715016582559
log..k.ext_usda.a725_cmolc.kg,mir_mlr..eml_kssl_na_v1.2.rds,53230,0.23590039689407283,-2.468267413156344e-17,0.6152506389130681,0.761802068472893,1.7534834123638419
log..k.ext_usda.a725_cmolc.kg,mir_mlr..eml_ossl_ll_v1.2.rds,36678,0.196609389144441,-1.7447313141227444e-17,0.6541151648659441,0.7908943449157673,1.9017119614882207
log..k.ext_usda.a725_cmolc.kg,nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,1698,0.2385784563431041,-2.870364592523225e-17,0.49441956547704485,0.6616877574394149,1.6300605490560782
log..k.ext_usda.a725_cmolc.kg,nir.neospectra_mlr..eml_ossl_na_v1.2.rds,1976,0.2465272493763215,7.304098846218136e-18,0.4270053787328691,0.5984635868885585,1.5764341020810555
log..k.ext_usda.a725_cmolc.kg,visnir.mir_mlr..eml_ossl_ll_v1.2.rds,3338,0.21205804171106227,-7.932540184934088e-18,0.41499063037040584,0.5865630788831042,1.137245514817501
log..k.ext_usda.a725_cmolc.kg,visnir.mir_mlr..eml_ossl_na_v1.2.rds,4312,0.22971215427783062,9.983510616846115e-18,0.5646986071981627,0.7217985682358898,1.3501894546194344
log..mg.ext_usda.a724_cmolc.kg,mir_mlr..eml_kssl_ll_v1.2.rds,33340,0.34024732017131,-2.1473524817922383e-17,0.8471903068330819,0.9172745262891169,3.986610354879572
log..mg.ext_usda.a724_cmolc.kg,mir_mlr..eml_kssl_na_v1.2.rds,53232,0.36782631601664717,1.0945390804840736e-17,0.8368611880716148,0.9111860967024658,3.6714987273360595
log..mg.ext_usda.a724_cmolc.kg,mir_mlr..eml_ossl_ll_v1.2.rds,36678,0.3425165312330614,-3.112456581795129e-18,0.8468226769641818,0.9170589981667263,4.04445907957781
log..mg.ext_usda.a724_cmolc.kg,nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,1698,0.5004605673567543,4.707659468375222e-18,0.588316726433412,0.7408053024216216,2.369624289964858
log..mg.ext_usda.a724_cmolc.kg,nir.neospectra_mlr..eml_ossl_na_v1.2.rds,1976,0.4860475007542645,-1.9664881509048826e-17,0.5994590642858959,0.7495772510483526,2.378711062717049
log..mg.ext_usda.a724_cmolc.kg,visnir.mir_mlr..eml_ossl_ll_v1.2.rds,3338,0.3919502790203654,1.46801883611123e-17,0.7829843793682666,0.8782851812147536,3.3722538564990847
log..mg.ext_usda.a724_cmolc.kg,visnir.mir_mlr..eml_ossl_na_v1.2.rds,3729,0.3772111230138836,-9.33373339286636e-18,0.7979224993458218,0.8876049992545815,3.4444450464480063
log..ca.ext_usda.a722_cmolc.kg,mir_mlr..eml_kssl_ll_v1.2.rds,33340,0.35486512978107726,-6.055444088571133e-17,0.9287971562367586,0.963084327694591,5.738167745758093
log..ca.ext_usda.a722_cmolc.kg,mir_mlr..eml_kssl_na_v1.2.rds,53232,0.3606205604998605,7.552877561597786e-17,0.9222793420264795,0.9595684892022055,5.26849397715419
log..ca.ext_usda.a722_cmolc.kg,mir_mlr..eml_ossl_ll_v1.2.rds,36670,0.36148143815156236,5.95651153162676e-17,0.9273308438463992,0.9622954427437199,5.773074871018252
log..ca.ext_usda.a722_cmolc.kg,nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,1698,0.6889392685229045,-6.252360231435843e-18,0.7127698492571533,0.832300789935424,2.7639731848079174
log..ca.ext_usda.a722_cmolc.kg,nir.neospectra_mlr..eml_ossl_na_v1.2.rds,1976,0.69850514733574,-1.258552416579125e-17,0.7094121309587891,0.8300071329912561,2.732471709150764
log..ca.ext_usda.a722_cmolc.kg,visnir.mir_mlr..eml_ossl_ll_v1.2.rds,3330,0.48289556608590406,-2.408400472713506e-17,0.8617010403678806,0.9257136582977944,4.924456359877122
log..ca.ext_usda.a722_cmolc.kg,visnir.mir_mlr..eml_ossl_na_v1.2.rds,3721,0.4640365323689187,1.4321608487505378e-18,0.8733547313167112,0.9323965362426182,5.276608272881597
acidity_usda.a795_cmolc.kg,mir_mlr..eml_kssl_ll_v1.2.rds,23783,7.152599142370416,-1.3445168210593182e-16,0.9220862168017139,0.9594639498908992,1.5462288295293445
acidity_usda.a795_cmolc.kg,mir_mlr..eml_kssl_na_v1.2.rds,28550,6.977548754856019,1.9554853235258907e-16,0.9233398726535285,0.9601421836897147,1.5075974915516108
acidity_usda.a795_cmolc.kg,mir_mlr..eml_ossl_ll_v1.2.rds,25135,7.379719323985272,-5.440600780272703e-16,0.9137501967212905,0.9549315248006374,1.4595853212183083
bd_usda.a4_g.cm3,mir_mlr..eml_kssl_ll_v1.2.rds,17276,0.17368476089809462,-5.326834134705905e-17,0.6581481617645337,0.7938351673763081,1.6962772005821511
bd_usda.a4_g.cm3,mir_mlr..eml_kssl_na_v1.2.rds,24156,0.22674792431950513,3.901275036311278e-17,0.6851473085425043,0.813160137477945,1.7723756510940176
bd_usda.a4_g.cm3,mir_mlr..eml_ossl_ll_v1.2.rds,18373,0.17451179260196667,5.890525342003561e-17,0.6557068943053299,0.7920567300415081,1.706589540795558
