soil_property,description,export_name,model_name,spectra_type,subset,geo
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
p.ext_usda.a270_mg.kg,"Phosphorus, Extractable, Bray1",log..p.ext_usda.a270_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
p.ext_usda.a270_mg.kg,"Phosphorus, Extractable, Bray1",log..p.ext_usda.a270_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
p.ext_usda.a270_mg.kg,"Phosphorus, Extractable, Bray1",log..p.ext_usda.a270_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
p.ext_usda.a270_mg.kg,"Phosphorus, Extractable, Bray1",log..p.ext_usda.a270_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
p.ext_usda.a270_mg.kg,"Phosphorus, Extractable, Bray1",log..p.ext_usda.a270_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
p.ext_usda.a274_mg.kg,"Phosphorus, Extractable, Olsen",log..p.ext_usda.a274_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
p.ext_usda.a274_mg.kg,"Phosphorus, Extractable, Olsen",log..p.ext_usda.a274_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
p.ext_usda.a274_mg.kg,"Phosphorus, Extractable, Olsen",log..p.ext_usda.a274_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
p.ext_usda.a274_mg.kg,"Phosphorus, Extractable, Olsen",log..p.ext_usda.a274_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
p.ext_usda.a274_mg.kg,"Phosphorus, Extractable, Olsen",log..p.ext_usda.a274_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
ph.cacl2_usda.a481_index,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2_usda.a481_index,mir_cubist_kssl_na_v1.2,mir,kssl,na
ph.cacl2_usda.a481_index,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2_usda.a481_index,mir_cubist_ossl_na_v1.2,mir,ossl,na
ph.cacl2_usda.a481_index,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2_usda.a481_index,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
ph.cacl2_usda.a481_index,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2_usda.a481_index,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
ph.cacl2_usda.a481_index,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2_usda.a481_index,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,mir_cubist_kssl_na_v1.2,mir,kssl,na
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,mir_cubist_ossl_na_v1.2,mir,ossl,na
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
sand.tot_usda.c60_w.pct,"Sand, Total, S prep",sand.tot_usda.c60_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
sand.tot_usda.c60_w.pct,"Sand, Total, S prep",sand.tot_usda.c60_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
sand.tot_usda.c60_w.pct,"Sand, Total, S prep",sand.tot_usda.c60_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
sand.tot_usda.c60_w.pct,"Sand, Total, S prep",sand.tot_usda.c60_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
sand.tot_usda.c60_w.pct,"Sand, Total, S prep",sand.tot_usda.c60_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
silt.tot_usda.c62_w.pct,"Silt, Total, S prep",silt.tot_usda.c62_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
silt.tot_usda.c62_w.pct,"Silt, Total, S prep",silt.tot_usda.c62_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
silt.tot_usda.c62_w.pct,"Silt, Total, S prep",silt.tot_usda.c62_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
silt.tot_usda.c62_w.pct,"Silt, Total, S prep",silt.tot_usda.c62_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
silt.tot_usda.c62_w.pct,"Silt, Total, S prep",silt.tot_usda.c62_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
wr.1500kPa_usda.a417_w.pct,"Water Retention, 15 Bar (1500 kPa)",log..wr.1500kPa_usda.a417_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
wr.1500kPa_usda.a417_w.pct,"Water Retention, 15 Bar (1500 kPa)",log..wr.1500kPa_usda.a417_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
wr.1500kPa_usda.a417_w.pct,"Water Retention, 15 Bar (1500 kPa)",log..wr.1500kPa_usda.a417_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
wr.1500kPa_usda.a417_w.pct,"Water Retention, 15 Bar (1500 kPa)",log..wr.1500kPa_usda.a417_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
wr.1500kPa_usda.a417_w.pct,"Water Retention, 15 Bar (1500 kPa)",log..wr.1500kPa_usda.a417_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
wr.33kPa_usda.a415_w.pct,"Water Retention, 1/3 Bar (33 kPa)",log..wr.33kPa_usda.a415_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
wr.33kPa_usda.a415_w.pct,"Water Retention, 1/3 Bar (33 kPa)",log..wr.33kPa_usda.a415_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
wr.33kPa_usda.a415_w.pct,"Water Retention, 1/3 Bar (33 kPa)",log..wr.33kPa_usda.a415_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
wr.33kPa_usda.a415_w.pct,"Water Retention, 1/3 Bar (33 kPa)",log..wr.33kPa_usda.a415_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
wr.33kPa_usda.a415_w.pct,"Water Retention, 1/3 Bar (33 kPa)",log..wr.33kPa_usda.a415_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
zn.ext_usda.a1073_mg.kg,"Zinc, Extractable, Mehlich3",log..zn.ext_usda.a1073_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
zn.ext_usda.a1073_mg.kg,"Zinc, Extractable, Mehlich3",log..zn.ext_usda.a1073_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
zn.ext_usda.a1073_mg.kg,"Zinc, Extractable, Mehlich3",log..zn.ext_usda.a1073_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
zn.ext_usda.a1073_mg.kg,"Zinc, Extractable, Mehlich3",log..zn.ext_usda.a1073_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
zn.ext_usda.a1073_mg.kg,"Zinc, Extractable, Mehlich3",log..zn.ext_usda.a1073_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
