Filename,URL,Description,Data_source
clm_lst_mod11a2.jul.night_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.jul.night_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.jun.day_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.jun.day_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.jun.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.jun.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.jun.night_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.jun.night_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.mar.day_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.mar.day_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.mar.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.mar.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.mar.night_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.mar.night_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.may.day_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.may.day_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.may.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.may.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.may.night_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.may.night_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
